AwayTeam,Date,FTAG,FTHG,FTR,HomeTeam
Tottenham,2018-12-23,6,2,A,Everton
Wolves,2018-12-26,1,1,D,Fulham
Newcastle,2018-12-26,0,4,H,Liverpool
Bournemouth,2018-12-26,0,5,H,Tottenham
Huddersfield,2018-12-26,1,3,H,Man United
Man City,2018-12-26,1,2,H,Leicester
Everton,2018-12-26,5,1,A,Burnley
Cardiff,2018-12-26,0,0,D,Crystal Palace
Arsenal,2018-12-26,1,1,D,Brighton
Chelsea,2018-12-26,2,1,A,Watford
West Ham,2018-12-27,2,1,A,Southampton
Cardiff,2018-12-29,1,0,A,Leicester
Everton,2018-12-29,0,1,H,Brighton
Newcastle,2018-12-29,1,1,D,Watford
Huddersfield,2018-12-29,0,1,H,Fulham
Wolves,2018-12-29,3,1,A,Tottenham
Arsenal,2018-12-29,1,5,H,Liverpool
Chelsea,2018-12-30,1,0,A,Crystal Palace
West Ham,2018-12-30,0,2,H,Burnley
Man City,2018-12-30,3,1,A,Southampton
Bournemouth,2018-12-30,1,4,H,Man United
Leicester,2019-01-01,1,0,A,Everton
Fulham,2019-01-01,1,4,H,Arsenal
Tottenham,2019-01-01,3,0,A,Cardiff
Crystal Palace,2019-01-02,2,0,A,Wolves
Southampton,2019-01-02,0,0,D,Chelsea
Burnley,2019-01-02,2,1,A,Huddersfield
Brighton,2019-01-02,2,2,D,West Ham
Watford,2019-01-02,3,3,D,Bournemouth
Man United,2019-01-02,2,0,A,Newcastle
Liverpool,2019-01-03,1,2,H,Man City
Arsenal,2019-01-12,0,1,H,West Ham
Southampton,2019-01-12,2,1,A,Leicester
Fulham,2019-01-12,1,2,H,Burnley
Huddersfield,2019-01-12,0,0,D,Cardiff
Watford,2019-01-12,2,1,A,Crystal Palace
Liverpool,2019-01-12,1,0,A,Brighton
Newcastle,2019-01-12,1,2,H,Chelsea
Bournemouth,2019-01-13,0,2,H,Everton
Man United,2019-01-13,1,0,A,Tottenham
Wolves,2019-01-14,0,3,H,Man City
Leicester,2019-01-19,3,4,H,Wolves
Crystal Palace,2019-01-19,3,4,H,Liverpool
Cardiff,2019-01-19,0,3,H,Newcastle
Brighton,2019-01-19,1,2,H,Man United
Everton,2019-01-19,1,2,H,Southampton
Burnley,2019-01-19,0,0,D,Watford
West Ham,2019-01-19,0,2,H,Bournemouth
Chelsea,2019-01-19,0,2,H,Arsenal
Man City,2019-01-20,3,0,A,Huddersfield
Tottenham,2019-01-20,2,1,A,Fulham
West Ham,2019-01-29,0,3,H,Wolves
Brighton,2019-01-29,2,4,H,Fulham
Cardiff,2019-01-29,1,2,H,Arsenal
Everton,2019-01-29,1,0,A,Huddersfield
Burnley,2019-01-29,2,2,D,Man United
Man City,2019-01-29,1,2,H,Newcastle
Chelsea,2019-01-30,0,4,H,Bournemouth
Crystal Palace,2019-01-30,1,1,D,Southampton
Leicester,2019-01-30,1,1,D,Liverpool
Watford,2019-01-30,1,2,H,Tottenham
Newcastle,2019-02-02,0,1,H,Tottenham
Huddersfield,2019-02-02,0,5,H,Chelsea
Wolves,2019-02-02,3,1,A,Everton
Southampton,2019-02-02,1,1,D,Burnley
Fulham,2019-02-02,0,2,H,Crystal Palace
Watford,2019-02-02,0,0,D,Brighton
Bournemouth,2019-02-02,0,2,H,Cardiff
Man United,2019-02-03,1,0,A,Leicester
Arsenal,2019-02-03,1,3,H,Man City
Liverpool,2019-02-04,1,1,D,West Ham
Man City,2019-02-06,2,0,A,Everton
Man United,2019-02-09,3,0,A,Fulham
Bournemouth,2019-02-09,0,3,H,Liverpool
Arsenal,2019-02-09,2,1,A,Huddersfield
Cardiff,2019-02-09,2,1,A,Southampton
West Ham,2019-02-09,1,1,D,Crystal Palace
Everton,2019-02-09,0,1,H,Watford
Burnley,2019-02-09,3,1,A,Brighton
Leicester,2019-02-10,1,3,H,Tottenham
Chelsea,2019-02-10,0,6,H,Man City
Newcastle,2019-02-11,1,1,D,Wolves
Watford,2019-02-22,5,1,A,Cardiff
Fulham,2019-02-22,1,3,H,West Ham
Tottenham,2019-02-23,1,2,H,Burnley
Huddersfield,2019-02-23,0,2,H,Newcastle
Wolves,2019-02-23,1,1,D,Bournemouth
Crystal Palace,2019-02-23,4,1,A,Leicester
Southampton,2019-02-24,0,2,H,Arsenal
Liverpool,2019-02-24,0,0,D,Man United
Brighton,2019-02-26,1,2,H,Leicester
Wolves,2019-02-26,0,1,H,Huddersfield
Everton,2019-02-26,3,0,A,Cardiff
Burnley,2019-02-26,0,2,H,Newcastle
Bournemouth,2019-02-27,1,5,H,Arsenal
Fulham,2019-02-27,0,2,H,Southampton
Man United,2019-02-27,3,1,A,Crystal Palace
Watford,2019-02-27,0,5,H,Liverpool
West Ham,2019-02-27,0,1,H,Man City
Tottenham,2019-02-27,0,2,H,Chelsea
Arsenal,2019-03-02,1,1,D,Tottenham
Cardiff,2019-03-02,0,2,H,Wolves
Southampton,2019-03-02,2,3,H,Man United
Crystal Palace,2019-03-02,3,1,A,Burnley
Huddersfield,2019-03-02,0,1,H,Brighton
Man City,2019-03-02,1,0,A,Bournemouth
Newcastle,2019-03-02,0,2,H,West Ham
Leicester,2019-03-03,1,2,H,Watford
Chelsea,2019-03-03,2,1,A,Fulham
Liverpool,2019-03-03,0,0,D,Everton
Brighton,2019-03-09,2,1,A,Crystal Palace
Everton,2019-03-09,2,3,H,Newcastle
Fulham,2019-03-09,1,3,H,Leicester
Bournemouth,2019-03-09,2,0,A,Huddersfield
West Ham,2019-03-09,0,2,H,Cardiff
Tottenham,2019-03-09,1,2,H,Southampton
Watford,2019-03-09,1,3,H,Man City
Burnley,2019-03-10,2,4,H,Liverpool
Wolves,2019-03-10,1,1,D,Chelsea
Man United,2019-03-10,0,2,H,Arsenal
Leicester,2019-03-16,2,1,A,Burnley
Huddersfield,2019-03-16,3,4,H,West Ham
Newcastle,2019-03-16,2,2,D,Bournemouth
Liverpool,2019-03-17,2,1,A,Fulham
Chelsea,2019-03-17,0,2,H,Everton
Man City,2019-03-30,2,0,A,Fulham
Watford,2019-03-30,1,2,H,Man United
Bournemouth,2019-03-30,0,2,H,Leicester
Wolves,2019-03-30,0,2,H,Burnley
Huddersfield,2019-03-30,0,2,H,Crystal Palace
Southampton,2019-03-30,1,0,A,Brighton
Everton,2019-03-30,2,0,A,West Ham
Chelsea,2019-03-31,2,1,A,Cardiff
Tottenham,2019-03-31,1,2,H,Liverpool
Newcastle,2019-04-01,0,2,H,Arsenal
Man United,2019-04-02,1,2,H,Wolves
Fulham,2019-04-02,1,4,H,Watford
Brighton,2019-04-03,0,3,H,Chelsea
Crystal Palace,2019-04-03,0,2,H,Tottenham
Cardiff,2019-04-03,0,2,H,Man City
Liverpool,2019-04-05,3,1,A,Southampton
Crystal Palace,2019-04-06,1,0,A,Newcastle
Leicester,2019-04-06,4,1,A,Huddersfield
Burnley,2019-04-06,3,1,A,Bournemouth
Arsenal,2019-04-07,0,1,H,Everton
West Ham,2019-04-08,0,2,H,Chelsea
Newcastle,2019-04-12,1,0,A,Leicester
Huddersfield,2019-04-13,0,4,H,Tottenham
Everton,2019-04-13,0,2,H,Fulham
Cardiff,2019-04-13,0,2,H,Burnley
Wolves,2019-04-13,1,3,H,Southampton
Bournemouth,2019-04-13,5,0,A,Brighton
West Ham,2019-04-13,1,2,H,Man United
Man City,2019-04-14,3,1,A,Crystal Palace
Chelsea,2019-04-14,0,2,H,Liverpool
Arsenal,2019-04-15,1,0,A,Watford
Cardiff,2019-04-16,2,0,A,Brighton
Tottenham,2019-04-20,0,1,H,Man City
Brighton,2019-04-20,0,0,D,Wolves
Watford,2019-04-20,2,1,A,Huddersfield
Leicester,2019-04-20,2,2,D,West Ham
Fulham,2019-04-20,1,0,A,Bournemouth
Southampton,2019-04-20,1,3,H,Newcastle
Man United,2019-04-21,0,4,H,Everton
Crystal Palace,2019-04-21,3,2,A,Arsenal
Liverpool,2019-04-21,2,0,A,Cardiff
Burnley,2019-04-22,2,2,D,Chelsea
Southampton,2019-04-23,1,1,D,Watford
Brighton,2019-04-23,0,1,H,Tottenham
Arsenal,2019-04-24,1,3,H,Wolves
Man City,2019-04-24,2,0,A,Man United
Huddersfield,2019-04-26,0,5,H,Liverpool
West Ham,2019-04-27,1,0,A,Tottenham
Cardiff,2019-04-27,0,1,H,Fulham
Bournemouth,2019-04-27,3,3,D,Southampton
Everton,2019-04-27,0,0,D,Crystal Palace
Wolves,2019-04-27,2,1,A,Watford
Newcastle,2019-04-27,1,1,D,Brighton
Arsenal,2019-04-28,0,3,H,Leicester
Man City,2019-04-28,1,0,A,Burnley
Chelsea,2019-04-28,1,1,D,Man United
Burnley,2019-05-03,0,2,H,Everton
Tottenham,2019-05-04,0,1,H,Bournemouth
Fulham,2019-05-04,0,1,H,Wolves
Southampton,2019-05-04,0,3,H,West Ham
Crystal Palace,2019-05-04,3,2,A,Cardiff
Liverpool,2019-05-04,3,2,A,Newcastle
Watford,2019-05-05,0,3,H,Chelsea
Man United,2019-05-05,1,1,D,Huddersfield
Brighton,2019-05-05,1,1,D,Arsenal
Leicester,2019-05-06,0,1,H,Man City
Newcastle,2019-05-12,4,0,A,Fulham
Wolves,2019-05-12,0,2,H,Liverpool
Everton,2019-05-12,2,2,D,Tottenham
Cardiff,2019-05-12,2,0,A,Man United
Chelsea,2019-05-12,0,0,D,Leicester
Arsenal,2019-05-12,3,1,A,Burnley
Huddersfield,2019-05-12,1,1,D,Southampton
Bournemouth,2019-05-12,3,5,H,Crystal Palace
Man City,2019-05-12,4,1,A,Brighton
West Ham,2019-05-12,4,1,A,Watford
